,actors,country,director,req_imdbid,year
1722,"Yada Beener, Emil Pinnock, Calen Johnson, Oprah Winfrey",USA,Jonathan Demme,tt0120603,1998
1723,"Jennifer Tilly, Brad Dourif, Katherine Heigl, Nick Stabile","USA, Canada",Ronny Yu,tt0144120,1998
1724,"Sandra Bullock, Nicole Kidman, Stockard Channing, Dianne Wiest",USA,Griffin Dunne,tt0120791,1998
1725,"Jane Adams, Jon Lovitz, Philip Seymour Hoffman, Dylan Baker",USA,Todd Solondz,tt0147612,1998
1726,"Brad Renfro, Ian McKellen, Joshua Jackson, Mickey Cottrell","USA, France",Bryan Singer,tt0118636,1998
1727,"Tobey Maguire, Reese Witherspoon, William H. Macy, Joan Allen",USA,Gary Ross,tt0120789,1998
1728,"Kurt Russell, Jason Scott Lee, Jason Isaacs, Connie Nielsen","UK, USA",Paul W.S. Anderson,tt0120157,1998
1729,Timothy 'Speed' Levitch,USA,Bennett Miller,tt0150230,1998
1730,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano",Italy,Roberto Benigni,tt0118799,1997
1731,"Trey Parker, Dian Bachar, Robyn Lynne Raab, Michael Dean Jacobs","USA, Japan",Trey Parker,tt0124819,1997
1732,"Debbie Harry, David Forrester, Matthew Lawrence, Christian Slater",USA,John Harrison,tt0100740,1990
1733,"James Woods, Daniel Baldwin, Sheryl Lee, Thomas Ian Griffith","USA, Japan",John Carpenter,tt0120877,1998
1734,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien",USA,Tony Kaye,tt0120586,1998
1735,"Sid Allen, Brent Baskin, Greg Cox, J.C. Crum",USA,S.R. Bindler,tt0116481,1997
1736,"Holly Hunter, Danny DeVito, Queen Latifah, Martin Donovan",USA,Richard LaGravenese,tt0120722,1998
1737,"DMX, Nas, Hassan Johnson, Taral Hicks","Jamaica, USA",Hype Williams,tt0158493,1998
1738,"Ian McKellen, Brendan Fraser, Lynn Redgrave, Lolita Davidovich","USA, UK",Bill Condon,tt0120684,1998
1739,"Denzel Washington, Annette Bening, Bruce Willis, Tony Shalhoub",USA,Edward Zwick,tt0133952,1998
1740,"Adam Sandler, Kathy Bates, Henry Winkler, Fairuza Balk",USA,Frank Coraci,tt0120484,1998
1741,"Liz Giles, Rod Culbertson, Paul Fox, Terence Rigby",UK,Shekhar Kapur,tt0127536,1998
1742,"Ewan McGregor, Jonathan Rhys Meyers, Christian Bale, Toni Collette","UK, USA",Todd Haynes,tt0120879,1998
1743,"Jennifer Love Hewitt, Freddie Prinze Jr., Brandy Norwood, Mekhi Phifer","USA, Mexico",Danny Cannon,tt0130018,1998
1744,"Jonathan Taylor Thomas, Jessica Biel, Adam LaVorgna, Gary Cole","USA, Canada",Arlene Sanford,tt0155753,1998
1745,"Brad Pitt, Anthony Hopkins, Claire Forlani, Jake Weber",USA,Martin Brest,tt0119643,1998
1746,"Hugh Dillon, Callum Keith Rennie, John Pyper-Ferguson, Bernie Coulson",Canada,Bruce McDonald,tt0116488,1996
1747,"Jon Voight, Eric Roberts, Rebecca De Mornay, Kyle T. Heffner",USA,Andrey Konchalovskiy,tt0089941,1985
1748,"Katharine Ross, Paula Prentiss, Peter Masterson, Nanette Newman",USA,Bryan Forbes,tt0073747,1975
1749,"Eric Roberts, Mickey Rourke, Daryl Hannah, Geraldine Page",USA,Stuart Rosenberg,tt0087932,1984
1750,"Gary Oldman, Chloe Webb, David Hayman, Debby Bishop",UK,Alex Cox,tt0091954,1986
1751,"Bob Hoskins, Cathy Tyson, Michael Caine, Robbie Coltrane",UK,Neil Jordan,tt0091538,1986
1752,"Bob Hoskins, Denzel Washington, Chloe Webb, Roger E. Mosley",USA,James D. Parriott,tt0099750,1990
1753,"Giulietta Masina, François Périer, Franca Marzi, Dorian Gray","Italy, France",Federico Fellini,tt0050783,1957
1754,"Tom Berenger, Glenn Close, Jeff Goldblum, William Hurt",USA,Lawrence Kasdan,tt0085244,1983
1755,"Will Smith, Gene Hackman, Jon Voight, Lisa Bonet",USA,Tony Scott,tt0120660,1998
1756,"Elizabeth Daily, Christine Cavanaugh, Kath Soucie, Melanie Chartoff",USA,"Igor Kovalyov, Norton Virgien",tt0134067,1998
1757,"Dave Foley, Kevin Spacey, Julia Louis-Dreyfus, Hayden Panettiere",USA,"John Lasseter, Andrew Stanton(co-director)",tt0120623,1998
1758,"Greg Mottola, Jeff Mazzola, Dick Mingalone, Vladimir Bibic",USA,Woody Allen,tt0120533,1998
1759,"Fernanda Montenegro, Marília Pêra, Vinícius de Oliveira, Soia Lira","Brazil, France",Walter Salles,tt0140888,1998
1760,"Nastassja Kinski, Pascal Rollin, Catlin Foster, Dennis Quaid",USA,Predrag Antonijevic,tt0120070,1998
1761,"Ian Bannen, David Kelly, Fionnula Flanagan, Susan Lynch","UK, Ireland, France, USA",Kirk Jones,tt0166396,1998
1762,"Ulrich Thomsen, Henning Moritzen, Thomas Bo Larsen, Paprika Steen","Denmark, Sweden",Thomas Vinterberg,tt0154420,1998
1763,"Divine, David Lochary, Mary Vivian Pearce, Mink Stole",USA,John Waters,tt0069089,1972
1764,"Bela Lugosi, Lyle Talbot, Timothy Farrell, Dolores Fuller",USA,Edward D. Wood Jr.,tt0045826,1953
1765,"Akira Takarada, Momoko Kôchi, Akihiko Hirata, Takashi Shimura",Japan,Ishirô Honda,tt0047034,1954
1766,"Raymond Burr, Ken Tanaka, Yasuko Sawaguchi, Yôsuke Natsuki",Japan,"Koji Hashimoto, R.J. Kizer",tt0087344,1984
1767,"Tadao Takashima, Kenji Sahara, Yû Fujiki, Ichirô Arishima","Japan, USA",Ishirô Honda,tt0056142,1962
1768,"Fay Wray, Robert Armstrong, Bruce Cabot, Frank Reicher",USA,"Merian C. Cooper, Ernest B. Schoedsack",tt0024216,1933
1769,"Jeff Bridges, Charles Grodin, Jessica Lange, John Randolph",USA,John Guillermin,tt0074751,1976
1770,"Peter Elliott, George Antoni, Brian Kerwin, Linda Hamilton",USA,John Guillermin,tt0091344,1986
1771,"Rosanna Arquette, Madonna, Aidan Quinn, Mark Blum",USA,Susan Seidelman,tt0089017,1985
1772,"Powers Boothe, Meg Foster, Yara Vaneau, William Rodriguez",UK,John Boorman,tt0089087,1985
1773,"Chevy Chase, Joe Don Baker, Dana Wheeler-Nicholson, Richard Libertini",USA,Michael Ritchie,tt0089155,1985
1774,"Chevy Chase, Hal Holbrook, Julianne Phillips, R. Lee Ermey",USA,Michael Ritchie,tt0097366,1989
1775,"Arnold Schwarzenegger, Brigitte Nielsen, Sandahl Bergman, Paul L. Smith","USA, Netherlands",Richard Fleischer,tt0089893,1985
1776,"Michael Keaton, Gedde Watanabe, George Wendt, Mimi Rogers",USA,Ron Howard,tt0091159,1986
1777,"Tom Hanks, Shelley Long, Alexander Godunov, Maureen Stapleton",USA,Richard Benjamin,tt0091541,1986
1778,"Roger Moore, Christopher Walken, Tanya Roberts, Grace Jones",UK,John Glen,tt0090264,1985
1779,"Steve Railsback, Peter Firth, Frank Finlay, Mathilda May","UK, USA",Tobe Hooper,tt0089489,1985
1780,"Steve Guttenberg, Kim Cattrall, G.W. Bailey, Bubba Smith",USA,Hugh Wilson,tt0087928,1984
1781,"Steve Guttenberg, Bubba Smith, David Graf, Michael Winslow",USA,"Jerry Paris, James Signorelli",tt0089822,1985
1782,"Steve Guttenberg, Bubba Smith, David Graf, Michael Winslow","Canada, USA",Jerry Paris,tt0091777,1986
1783,"Steve Guttenberg, Bubba Smith, Michael Winslow, David Graf",USA,Jim Drake,tt0093756,1987
1784,"Bubba Smith, David Graf, Michael Winslow, Leslie Easterbrook",USA,Alan Myerson,tt0095882,1988
1785,"Bubba Smith, David Graf, Michael Winslow, Leslie Easterbrook",USA,Peter Bonerz,tt0098105,1989
1786,"Magda Szubanski, James Cromwell, Mary Stein, Mickey Rooney",Australia,George Miller,tt0120595,1998
1787,"Drew Barrymore, Catherine O'Hara, Luke Wilson, Jake Busey",USA,Dean Parisot,tt0119304,1998
1788,"Jon Favreau, Leland Orser, Cameron Diaz, Christian Slater",USA,Peter Berg,tt0124198,1998
1789,"Alessandro Gassman, Francesca d'Aloja, Carlo Cecchi, Halil Ergün","Italy, Turkey, Spain",Ferzan Ozpetek,tt0119248,1997
1790,"Vince Vaughn, Anne Heche, Julianne Moore, Viggo Mortensen",USA,Gus Van Sant,tt0155975,1998
1791,"Brenda Blethyn, Jane Horrocks, Ewan McGregor, Philip Jackson",UK,Mark Herman,tt0147004,1998
1792,"Bill Paxton, Bridget Fonda, Billy Bob Thornton, Brent Briscoe","UK, Germany, France, USA, Japan",Sam Raimi,tt0120324,1998
1793,"Michael Keaton, Kelly Preston, Joseph Cross, Mark Addy",USA,Troy Miller,tt0141109,1998
1794,"Patrick Stewart, Jonathan Frakes, Brent Spiner, LeVar Burton",USA,Jonathan Frakes,tt0120844,1998
1795,"Val Kilmer, Ralph Fiennes, Michelle Pfeiffer, Sandra Bullock",USA,"Brenda Chapman, Steve Hickner, Simon Wells",tt0120794,1998
1796,"Jason Schwartzman, Bill Murray, Olivia Williams, Seymour Cassel",USA,Wes Anderson,tt0128445,1998
1797,"Geoffrey Rush, Tom Wilkinson, Steven O'Donnell, Tim McMullan","USA, UK",John Madden,tt0138097,1998
1798,"Maureen O'Hara, John Payne, Edmund Gwenn, Gene Lockhart",USA,George Seaton,tt0039628,1947
1799,"Dudley Moore, John Lithgow, David Huddleston, Burgess Meredith","UK, USA",Jeannot Szwarc,tt0089961,1985
1800,"Sam Elliott, Cloris Leachman, Rutanya Alda, Abe Vigoda","USA, Canada",John D. Hancock,tt0098115,1989
1801,"Clint Eastwood, Michael Moriarty, Carrie Snodgress, Chris Penn",USA,Clint Eastwood,tt0089767,1985
1802,"Sylvester Stallone, Richard Crenna, Charles Napier, Steven Berkoff","USA, Mexico",George P. Cosmatos,tt0089880,1985
1803,"Sylvester Stallone, Richard Crenna, Brian Dennehy, Bill McKinney",USA,Ted Kotcheff,tt0083944,1982
1804,"Sylvester Stallone, Richard Crenna, Marc de Jonge, Kurtwood Smith",USA,Peter MacDonald,tt0095956,1988
1805,"Michael Douglas, Kathleen Turner, Danny DeVito, Spyros Fokas",USA,Lewis Teague,tt0089370,1985
1806,"Michael Douglas, Kathleen Turner, Danny DeVito, Zack Norman","Mexico, USA",Robert Zemeckis,tt0088011,1984
1807,"Don Ameche, Wilford Brimley, Hume Cronyn, Brian Dennehy",USA,Ron Howard,tt0088933,1985
1808,"Don Ameche, Wilford Brimley, Courteney Cox, Hume Cronyn",USA,Daniel Petrie,tt0094890,1988
1809,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers",USA,Sylvester Stallone,tt0079817,1979
1810,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers",USA,Sylvester Stallone,tt0084602,1982
1811,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers",USA,Sylvester Stallone,tt0089927,1985
1812,"Sylvester Stallone, Talia Shire, Burt Young, Sage Stallone",USA,John G. Avildsen,tt0100507,1990
1813,"Eileen Brennan, Tim Curry, Madeline Kahn, Christopher Lloyd",USA,Jonathan Lynn,tt0088930,1985
1814,"Nicholas Rowe, Alan Cox, Sophie Ward, Anthony Higgins",USA,Barry Levinson,tt0090357,1985
1815,"Sissy Spacek, Kevin Kline, Bonnie Bedelia, John Kellogg",USA,Jack Fisk,tt0092173,1986
1816,"Rodney Dangerfield, Sally Kellerman, Burt Young, Keith Gordon",USA,Alan Metter,tt0090685,1986
1817,"Meryl Streep, Jack Nicholson, Jeff Daniels, Maureen Stapleton",USA,Mike Nichols,tt0091188,1986
1818,"Tom Hanks, Jackie Gleason, Eva Marie Saint, Hector Elizondo",USA,Garry Marshall,tt0091653,1986
1819,"Farrah Fawcett, James Russo, Alfre Woodard, Diana Scarwid",USA,Robert M. Young,tt0091024,1986
1820,"Ralph Macchio, Pat Morita, Elisabeth Shue, Martin Kove",USA,John G. Avildsen,tt0087538,1984
1821,"Pat Morita, Ralph Macchio, Pat E. Johnson, Bruce Malmuth",USA,John G. Avildsen,tt0091326,1986
1822,"Ralph Macchio, Pat Morita, Robyn Lively, Thomas Ian Griffith",USA,John G. Avildsen,tt0097647,1989
1823,"Chevy Chase, Beverly D'Angelo, Juliette Lewis, Johnny Galecki",USA,Jeremiah S. Chechik,tt0097958,1989
1824,"Tom Hanks, Meg Ryan, Greg Kinnear, Parker Posey",USA,Nora Ephron,tt0128853,1998
1825,"Brendan Gleeson, Adrian Dunbar, Sean McGinley, Maria Doyle Kennedy","UK, Ireland",John Boorman,tt0120706,1998
1826,"Kirk Acevedo, Penelope Allen, Benjamin Green, Simon Billig",USA,Terrence Malick,tt0120863,1998
1827,"Jordana Brewster, Clea DuVall, Laura Harris, Josh Hartnett",USA,Robert Rodriguez,tt0133751,1998
1828,"Charlize Theron, Bill Paxton, Rade Serbedzija, Peter Firth",USA,Ron Underwood,tt0120751,1998
1829,"Terry Moore, Ben Johnson, Robert Armstrong, Mr. Joseph Young",USA,Ernest B. Schoedsack,tt0041650,1949
1830,"Robin Williams, Daniel London, Monica Potter, Philip Seymour Hoffman",USA,Tom Shadyac,tt0129290,1998
1831,"Julia Roberts, Susan Sarandon, Ed Harris, Jena Malone",USA,Chris Columbus,tt0120686,1998
1832,"John Travolta, Robert Duvall, Tony Shalhoub, William H. Macy",USA,Steven Zaillian,tt0120633,1998
1833,"Sean Penn, Kevin Spacey, Robin Wright, Chazz Palminteri",USA,Anthony Drazan,tt0119336,1998
1834,"Cher, Judi Dench, Joan Plowright, Maggie Smith","Italy, UK",Franco Zeffirelli,tt0120857,1999
1835,"Nick Nolte, Brigid Tierney, Holmes Osborne, Jim True-Frost","USA, Canada, Japan",Paul Schrader,tt0118564,1997
1836,"Emily Watson, Rachel Griffiths, James Frain, David Morrissey",UK,Anand Tucker,tt0150915,1998
1837,"Angelina Jolie, Dennis Quaid, April Grace, Patricia Clarkson",USA,Willard Carroll,tt0145734,1998
1838,"Val Kilmer, Mira Sorvino, Kelly McGillis, Steven Weber",USA,Irwin Winkler,tt0132512,1999
1839,"Annette Bening, Katie Sagona, Aidan Quinn, Robert Downey Jr.",USA,Neil Jordan,tt0120710,1999
1840,"James Van Der Beek, Jon Voight, Paul Walker, Ron Lester",USA,Brian Robbins,tt0139699,1999
1841,"Jamie Lee Curtis, William Baldwin, Donald Sutherland, Joanna Pacula","USA, UK, Germany, Japan, France",John Bruno,tt0120458,1999
1842,"Lea Thompson, Jeffrey Jones, Tim Robbins, Ed Gale",USA,Willard Huyck,tt0091225,1986
1843,"Stephen Dorff, Christa Denton, Louis Tripp, Kelly Rowan",Canada,Tibor Takács,tt0093075,1987
1844,"Lucy Deakins, Jay Underwood, Bonnie Bedelia, Fred Savage",USA,Nick Castle,tt0090768,1986
1845,"David Hedison, Patricia Owens, Vincent Price, Herbert Marshall",USA,Kurt Neumann,tt0051622,1958
1846,"Jeff Goldblum, Geena Davis, John Getz, Joy Boushel","USA, UK, Canada",David Cronenberg,tt0091064,1986
1847,"Eric Stoltz, Daphne Zuniga, Lee Richardson, John Getz",USA,Chris Walas,tt0097368,1989
1848,"Gregory Hines, Billy Crystal, Steven Bauer, Darlanne Fluegel",USA,Peter Hyams,tt0091875,1986
1849,"John Candy, Eugene Levy, Robert Loggia, Kenneth McMillan",USA,Mark L. Lester,tt0090660,1986
1850,"Marilyn Burns, Allen Danziger, Paul A. Partain, William Vail",USA,Tobe Hooper,tt0072271,1974
1851,"Dennis Hopper, Caroline Williams, Jim Siedow, Bill Moseley",USA,Tobe Hooper,tt0092076,1986
1852,"Renée Zellweger, Matthew McConaughey, Robert Jacks, Tonie Perensky",USA,Kim Henkel,tt0110978,1994
1853,"Danny DeVito, Bette Midler, Judge Reinhold, Helen Slater",USA,"Jim Abrahams, David Zucker, Jerry Zucker",tt0091877,1986
1854,"Matthew Labyorteaux, Kristy Swanson, Michael Sharrett, Anne Twomey",USA,Wes Craven,tt0090917,1986
1855,"Sean Connery, Christian Slater, Helmut Qualtinger, Elya Baskin","West Germany, Italy, France",Jean-Jacques Annaud,tt0091605,1986
1856,"Whoopi Goldberg, Stephen Collins, John Wood, Carol Kane",USA,Penny Marshall,tt0091306,1986
1857,"Kathleen Turner, Nicolas Cage, Barry Miller, Catherine Hicks",USA,Francis Ford Coppola,tt0091738,1986
1858,"Paul Hogan, Linda Kozlowski, John Meillon, David Gulpilil",Australia,Peter Faiman,tt0090555,1986
1859,"Paul Hogan, Linda Kozlowski, John Meillon, Ernie Dingo","Australia, USA",John Cornell,tt0092493,1988
1860,"Burt Lancaster, Kirk Douglas, Charles Durning, Alexis Smith",USA,Jeff Kanew,tt0092105,1986
1861,"C. Thomas Howell, Rae Dawn Chong, Arye Gross, James Earl Jones",USA,Steve Miner,tt0091991,1986
1862,"Paul Newman, Tom Cruise, Mary Elizabeth Mastrantonio, Helen Shaver",USA,Martin Scorsese,tt0090863,1986
1863,"Roy Scheider, Ann-Margret, Vanity, John Glover",USA,John Frankenheimer,tt0090567,1986
1864,"Clint Eastwood, Marsha Mason, Everett McGill, Moses Gunn",USA,Clint Eastwood,tt0091187,1986
1865,"Chuck Norris, Louis Gossett Jr., Melody Anderson, Will Sampson",USA,J. Lee Thompson,tt0091055,1986
1866,"Steve Martin, Chevy Chase, Martin Short, Alfonso Arau",USA,John Landis,tt0092086,1986
1867,"Peter Mullan, Louise Goodall, Gary Lewis, Lorraine McIntosh","UK, Germany, France, Spain",Ken Loach,tt0151691,1998
1868,"Stephen Rea, Billy Connolly, Jimmy Nail, Timothy Spall",UK,Brian Gibson,tt0149151,1998
1869,"Álex Angulo, Armando De Razza, Santiago Segura, Terele Pávez",Spain,Álex de la Iglesia,tt0112922,1995
1870,"Freddie Prinze Jr., Rachael Leigh Cook, Matthew Lillard, Paul Walker",USA,Robert Iscove,tt0160862,1999
1871,"Karlheinz Böhm, Moira Shearer, Anna Massey, Maxine Audley",UK,Michael Powell,tt0054167,1960
1872,"Mel Gibson, Gregg Henry, Maria Bello, David Paymer",USA,Brian Helgeland,tt0120784,1999
1873,"Sarah Michelle Gellar, Sean Patrick Flanery, Patricia Clarkson, Dylan Baker","Germany, USA",Mark Tarlov,tt0145893,1999
1874,"Myles Berkowitz, Elisabeth Wagner, Richard Arlook, Tia Carrere",USA,Myles Berkowitz,tt0138987,1998
1875,"Ben Becker, Heino Ferch, Ulrich Noethen, Heinrich Schafmeister","Germany, Austria",Joseph Vilsmaier,tt0128133,1997
1876,"Bill Basch, Martin Basch, Randolph Braham, Alice Lok Cahana",USA,James Moll,tt0174852,1998
1877,"Jennifer Drake, Eric Baugin, Jean Topart, Jean Valmont","France, Czechoslovakia",René Laloux,tt0070544,1973
1878,"Brendan Fraser, Alicia Silverstone, Christopher Walken, Sissy Spacek",USA,Hugh Wilson,tt0124298,1999
1879,"Kevin Costner, Robin Wright, Paul Newman, John Savage",USA,Luis Mandoki,tt0139462,1999
1880,"Christopher Lloyd, Jeff Daniels, Elizabeth Hurley, Daryl Hannah",USA,Donald Petrie,tt0120764,1999
1881,"Rose McGowan, Rebecca Gayheart, Julie Benz, Judy Greer",USA,Darren Stein,tt0155776,1999
1882,"Jake Gyllenhaal, Chris Cooper, Laura Dern, Chris Owen",USA,Joe Johnston,tt0132477,1999
1883,"Ron Livingston, Jennifer Aniston, David Herman, Ajay Naidu",USA,Mike Judge,tt0151804,1999
1884,"Massoumeh Naderi, Zahra Naderi, Ghorban Ali Naderi, Azizeh Mohamadi","Iran, France",Samira Makhmalbaf,tt0156901,1998
1885,"Ben Affleck, Casey Affleck, Jennifer Albano, Jenni Blong",USA,Risa Bramon Garcia,tt0137338,1999
1886,"Nicolas Cage, Joaquin Phoenix, James Gandolfini, Peter Stormare","Germany, USA",Joel Schumacher,tt0134273,1999
1887,"Juliette Lewis, Diane Keaton, Tom Skerritt, Giovanni Ribisi",USA,Garry Marshall,tt0123209,1999
1888,"Elliott Gould, Nina van Pallandt, Sterling Hayden, Mark Rydell",USA,Robert Altman,tt0070334,1973
1889,"Ken Ogata, Sumiko Sakamoto, Tonpei Hidari, Aki Takejô",Japan,Shôhei Imamura,tt0084390,1983
1890,"Dale Midkiff, Fred Gwynne, Denise Crosby, Brad Greenquist",USA,Mary Lambert,tt0098084,1989
1891,"Edward Furlong, Anthony Edwards, Clancy Brown, Jared Rushton",USA,Mary Lambert,tt0105128,1992
1892,"Terence Knox, Paul Scherrer, Ryan Bollman, Christie Clark",USA,David Price,tt0106557,1992
1893,"Dano Cerny, Ron Melendez, Jim Metzler, Nancy Lee Grahn",USA,James D.R. Hickox,tt0109415,1995
1894,"Keith Gordon, John Stockwell, Alexandra Paul, Robert Prosky",USA,John Carpenter,tt0085333,1983
1895,"Henry Winkler, Michael Keaton, Shelley Long, Gina Hecht",USA,Ron Howard,tt0084412,1982
1896,"Burt Lancaster, Dean Martin, Jean Seberg, Jacqueline Bisset",USA,"George Seaton, Henry Hathaway",tt0065377,1970
1897,"Charlton Heston, Karen Black, George Kennedy, Efrem Zimbalist Jr.",USA,Jack Smight,tt0071110,1974
1898,"Jack Lemmon, Lee Grant, Brenda Vaccaro, Joseph Cotten",USA,Jerry Jameson,tt0075648,1977
1899,"George Segal, Richard Widmark, Timothy Bottoms, Henry Fonda",USA,James Goldstone,tt0076636,1977
1900,"Steve McQueen, Paul Newman, William Holden, Faye Dunaway",USA,John Guillermin,tt0072308,1974
1901,"Robert Forster, Robin Riker, Michael V. Gazzo, Dean Jagger",USA,Lewis Teague,tt0080354,1980
1902,"Sean Connery, Natalie Wood, Karl Malden, Brian Keith","USA, Hong Kong",Ronald Neame,tt0079550,1979
1903,"Yul Brynner, Richard Benjamin, James Brolin, Norman Bartold",USA,Michael Crichton,tt0070909,1973
1904,"Michael York, Richard Jordan, Jenny Agutter, Roscoe Lee Browne",USA,Michael Anderson,tt0074812,1976
1905,"Charlton Heston, Roddy McDowall, Kim Hunter, Maurice Evans",USA,Franklin J. Schaffner,tt0063442,1968
1906,"James Franciscus, Kim Hunter, Maurice Evans, Linda Harrison",USA,Ted Post,tt0065462,1970
1907,"Roddy McDowall, Claude Akins, Natalie Trundy, Severn Darden",USA,J. Lee Thompson,tt0069768,1973
1908,"Roddy McDowall, Don Murray, Ricardo Montalban, Natalie Trundy",USA,J. Lee Thompson,tt0068408,1972
1909,"Roddy McDowall, Kim Hunter, Bradford Dillman, Natalie Trundy",USA,Don Taylor,tt0067065,1971
1910,"Rock Hudson, Mia Farrow, Robert Forster, Jeanette Nolan",USA,Corey Allen,tt0077189,1978
1911,"Charlton Heston, Ava Gardner, George Kennedy, Lorne Greene",USA,Mark Robson,tt0071455,1974
1912,"Michael Caine, Sally Field, Telly Savalas, Peter Boyle",USA,Irwin Allen,tt0078856,1979
1913,"Andrew Asnes, Rachel Berman Benz, Ross Kramberg, Thomas Patrick",USA,Matthew Diamond,tt0175550,1998
1914,"Robert De Niro, Billy Crystal, Lisa Kudrow, Chazz Palminteri","USA, Australia",Harold Ramis,tt0122933,1999
1915,"Yun-Fat Chow, Mark Wahlberg, Ric Young, Paul Ben-Victor",USA,James Foley,tt0142192,1999
1916,"Sarah Michelle Gellar, Ryan Phillippe, Reese Witherspoon, Selma Blair",USA,Roger Kumble,tt0139134,1999
1917,"Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham",UK,Guy Ritchie,tt0120735,1998
1918,"Isabelle Huppert, Vincent Martinez, Vincent Lindon, Marthe Keller","France, Luxembourg, Belgium",Benoît Jacquot,tt0157208,1998
1919,"Michelle Pfeiffer, Treat Williams, Whoopi Goldberg, Jonathan Jackson",USA,Ulu Grosbard,tt0120646,1999
1920,"Emily Bergl, Jason London, Dylan Bruno, J. Smith-Cameron",USA,"Katt Shea, Robert Mandel",tt0144814,1999
1921,"Freddie Prinze Jr., Saffron Burrows, Matthew Lillard, Tchéky Karyo","USA, Luxembourg",Chris Roberts,tt0131646,1999
1922,"Julie Harris, Claire Bloom, Richard Johnson, Russ Tamblyn",UK,Robert Wise,tt0057129,1963
1923,"Jeremy Irons, Geneviève Bujold, Heidi von Palleske, Barbara Gordon",Canada,David Cronenberg,tt0094964,1988
1924,"Andrew Lowery, Traci Lind, Danny Zorn, Edward Herrmann",USA,Bob Balaban,tt0107626,1993
1925,"George Sanders, Barbara Shelley, Michael Gwynn, Laurence Naismith",UK,Wolf Rilla,tt0054443,1960
1926,"Ian Hendry, Alan Badel, Barbara Ferris, Alfred Burke",UK,Anton Leader,tt0056931,1964
1927,"Kathleen Turner, Christopher Lloyd, Kim Cattrall, Peter MacNicol",USA,Bob Clark,tt0118665,1999
1928,"Philippe Nahon, Blandine Lenoir, Frankie Pain, Martine Audrain",France,Gaspar Noé,tt0157016,1998
1929,"Sandra Bullock, Ben Affleck, Maura Tierney, Steve Zahn",USA,Bronwen Hughes,tt0141098,1999
1930,"Miranda Richardson, Christiane Noll, Martin Vidnovic, Ian Richardson",USA,Richard Rich,tt0160429,1999
1931,"Guy Pearce, Robert Carlyle, David Arquette, Jeremy Davies","Czech Republic, UK, USA, Mexico",Antonia Bird,tt0129332,1999
1932,"Clint Eastwood, Isaiah Washington, LisaGay Hamilton, James Woods",USA,Clint Eastwood,tt0139668,1999
1933,"Catherine McCormack, Rufus Sewell, Oliver Platt, Fred Ward",USA,Marshall Herskovitz,tt0118892,1998
1934,"Deborah Kerr, Yul Brynner, Rita Moreno, Martin Benson",USA,Walter Lang,tt0049408,1956
1935,"Thomas McHugh, Fred Newman, Chris Phillips, Constance Shulman",USA,Maurice Joyce,tt0187819,1999
1936,"Geoffrey Blake, Gail Boggs, Jenna Byrne, Merrin Dungey",USA,Ron Howard,tt0131369,1999
1937,"Claire Danes, Giovanni Ribisi, Omar Epps, Dennis Farina",USA,Scott Silver,tt0120757,1999
1938,"Bobby Boriello, Diane Lane, Anna Paquin, Tovah Feldshuh",USA,Tony Goldwyn,tt0120613,1999
1939,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",USA,"Lana Wachowski, Lilly Wachowski",tt0133093,1999
1940,"Heath Ledger, Julia Stiles, Joseph Gordon-Levitt, Larisa Oleynik",USA,Gil Junger,tt0147800,1999
1941,"Miguel Ángel Solá, Cecilia Narova, Mía Maestro, Juan Carlos Copes","Spain, Argentina",Carlos Saura,tt0120274,1998
1942,"Steve Martin, Goldie Hawn, John Cleese, Mark McKinney",USA,Sam Weisman,tt0129280,1999
1943,"Élodie Bouchez, Natacha Régnier, Grégoire Colin, Patrick Mercado",France,Erick Zonca,tt0120449,1998
1944,"Christian Bale, Emily Watson, Lee Ross, Elsa Zylberstein","Spain, France, UK",Philip Saville,tt0119665,1997
1945,"Jeremy Theobald, Alex Haw, Lucy Russell, John Nolan",UK,Christopher Nolan,tt0154506,1998
1946,"Katie Holmes, Sarah Polley, Suzanne Krull, Desmond Askew",USA,Doug Liman,tt0139239,1999
1947,"Drew Barrymore, David Arquette, Michael Vartan, Molly Shannon",USA,Raja Gosnell,tt0151738,1999
1948,"Jackie Chan, Maggie Cheung, Teddy Robin Kwan, James Wong",Hong Kong,"Ringo Lam, Hark Tsui",tt0105399,1992
1949,"Glenn Close, Julianne Moore, Liv Tyler, Chris O'Donnell",USA,Robert Altman,tt0126250,1999
1950,"Najwa Nimri, Fele Martínez, Nancho Novo, Maru Valdivielso","Spain, France",Julio Medem,tt0133363,1998
1951,"Patricia Arquette, Dermot Mulroney, Mary-Louise Parker, Ellen DeGeneres",USA,Roland Joffé,tt0119219,1998
1952,"Eddie Murphy, Martin Lawrence, Obba Babatundé, Nick Cassavetes",USA,Ted Demme,tt0123964,1999
1953,"Stephen Baldwin, Danny Nucci, George Newbern, Alison Eastwood",USA,George Haas,tt0143261,1999
